scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-08-31T08:30:25+05:30,200,130,70,Reporting Date & Time :31-08-2026(MONDAY) :: 04:00 PM,31-08-2026,MONDAY,04:00 PM
2026-08-31T08:55:46+05:30,200,150,50,Reporting Date & Time :31-08-2026(MONDAY) :: 04:00 PM,31-08-2026,MONDAY,04:00 PM
2026-08-31T09:10:26+05:30,200,150,50,Reporting Date & Time :31-08-2026(MONDAY) :: 04:00 PM,31-08-2026,MONDAY,04:00 PM
