scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-09-07T08:52:06+05:30,180,124,56,Reporting Date & Time :07-09-2026(MONDAY) :: 04:00 PM,07-09-2026,MONDAY,04:00 PM
2026-09-07T08:54:06+05:30,180,129,51,Reporting Date & Time :07-09-2026(MONDAY) :: 04:00 PM,07-09-2026,MONDAY,04:00 PM
2026-09-07T08:56:06+05:30,180,134,46,Reporting Date & Time :07-09-2026(MONDAY) :: 04:00 PM,07-09-2026,MONDAY,04:00 PM
